Treino,ID
supino reto,1
supino inclinado,2
supino declinado,3
crucifixo reto,4
crucifixo inclinado,5
crucifixo declinado,6
flexão de braço,7
flexão diamante,8
flexão aberta,9
flexão declinada,10
flexão inclinada,11
flexão com batida,12
flexão arqueada,178
mergulho em paralelas,14
peck deck,15
crossover alto,16
crossover baixo,17
crossover médio,18
puxada frente,19
puxada costas,20
puxada neutra,21
remada curvada,22
remada unilateral,23
remada cavalinho,24
remada baixa,25
remada alta,26
barra fixa,27
barra supinada,28
barra pronada,29
pulldown,30
deadlift,31
levantamento terra,32
good morning,33
superman,34
hiperextensão lombar,35
agachamento livre,36
agachamento frontal,37
agachamento búlgaro,38
agachamento sumô,39
leg press,40
extensora,41
cadeira extensora,42
flexora,43
cadeira flexora,44
stiff,45
avanço,46
afundo,47
passada,48
panturrilha em pé,49
panturrilha sentado,50
panturrilha no leg press,51
agachamento com salto,52
agachamento isométrico,53
desenvolvimento com barra,54
desenvolvimento com halteres,55
elevação lateral,56
elevação frontal,57
elevação posterior,58
arnold press,59
remo alto,60
face pull,61
militar press,62
pike push-up,63
handstand push-up,64
rosca direta,65
rosca alternada,66
rosca concentrada,67
rosca scott,68
rosca martelo,69
rosca inversa,70
rosca 21,71
chin-up,72
rosca com corda,73
rosca na polia,74
tríceps testa,75
tríceps corda,76
tríceps francês,77
tríceps coice,78
tríceps banco,79
paralelas,80
mergulho de tríceps,81
tríceps máquina,82
kickback,83
abdominal tradicional,84
abdominal infra,85
abdominal supra,86
abdominal oblíquo,87
abdominal bicicleta,88
prancha,89
prancha lateral,90
elevação de pernas,91
abdominal com bola,92
abdominal canivete,93
abdominal na polia,94
mountain climbers,95
russian twist,96
v-up,97
leg raise,98
crunch reverso,99
corrida,100
esteira,101
bicicleta ergométrica,102
subida de escada,103
corda naval,104
pular corda,105
burpee,106
jumping jack,107
polichinelo,108
corrida estacionária,109
escada,110
agachamento com corrida,111
esqui simulador,112
glúteo quatro apoios,113
elevação de quadril,114
ponte de glúteo,115
abdução de quadril,116
abdução máquina,117
abdução elástico,118
step up,119
chute para trás,120
kickback glúteo,121
flexão cervical,122
extensão cervical,123
encolhimento de ombros,124
rolamento de punho,125
rosca de punho,126
pronação e supinação de antebraço,127
clean,128
snatch,129
thruster,130
power clean,131
dead clean,132
burpee com salto,133
burpee com barra,134
clean and jerk,135
kettlebell swing,136
turkish get-up,137
wall ball,138
box jump,139
battle rope,140
muscle-up,141
front lever,142
back lever,143
planche,144
pino,145
pistol squat,146
dragon flag,147
hollow hold,148
l-sit,149
handstand walk,150
human flag,151
prancha dinâmica,152
prancha com bola,153
abdominal swiss ball,154
hollow rock,155
plank shoulder tap,156
dead bug,157
bird dog,158
side plank raise,159
sprint,160
tiro curto,161
agachamento com kettlebell,162
arremesso de bola,163
carregar saco de areia,164
escalada em corda,165
sledgehammer,166
farmer’s walk,167
sled push,168
sled pull,169
cachorro olhando para baixo,170
postura da cobra,171
postura do guerreiro,172
postura da prancha,173
alongamento lateral,174
alongamento posterior,175
rotação de tronco,176
ponte,177
flexão explosiva,179
agachamento com salto lateral,180
remo invertido,181
abdominal escalador,182
abdominal prancha toque ombro,183
abdominal prancha toque joelho,184
tríceps na cadeira,185
rosca scott máquina,186
supino máquina,187
agachamento smith,188
leg horizontal,189
pullover,190
good morning barra,191
hip thrust,192
elevação pélvica,193
lunge alternado,194
agachamento hack,195
press arnold,196
elev frontal alternado,197
rosca com barra w,198
tríceps pulley inverso,199
tríceps cross,200
